Timestamp(ms),Current(uA),D0-D7
120.07,90822.648,11111111
120.08,94673.953,11111111
120.09,95444.398,11111111
120.1,92362.992,11111111
120.11,92362.992,11111111
120.12,93133.25,11111111
120.13,93903.57,11111111
120.14,90822.648,11111111
120.15,93903.57,11111111
120.16,96214.898,11111111
120.17,92362.992,11111111
120.18,93133.25,11111111
120.19,90822.648,11111111
120.2,96214.898,11111111
120.21,90822.648,11111111
120.22,93133.25,11111111
120.23,94673.953,11111111
120.24,92362.992,11111111
120.25,92362.992,11111111
120.26,93903.57,11111111
120.27,93903.57,11111111
120.28,93903.57,11111111
120.29,90822.648,11111111
120.3,92362.992,11111111
120.31,92362.992,11111111
120.32,90822.648,11111111
120.33,93903.57,11111111
120.34,92362.992,11111111
120.35,92362.992,11111111
120.36,92362.992,11111111
120.37,91592.789,11111111
120.38,92362.992,11111111
120.39,91592.789,11111111
120.4,93133.25,11111111
120.41,94673.953,11111111
120.42,91592.789,11111111
120.43,94673.953,11111111
120.44,93133.25,11111111
120.45,92362.992,11111111
120.46,90822.648,11111111
120.47,91592.789,11111111
120.48,90822.648,11111111
120.49,93903.57,11111111
120.5,91592.789,11111111
120.51,96214.898,11111111
120.52,94673.953,11111111
120.53,92362.992,11111111
120.54,93903.57,11111111
120.55,93133.25,11111111
120.56,93903.57,11111111
120.57,90822.648,11111111
120.58,93903.57,11111111
120.59,92362.992,11111111
120.6,90822.648,11111111
120.61,91592.789,11111111
120.62,94673.953,11111111
120.63,95444.398,11111111
120.64,90052.57,11111111
120.65,93133.25,11111111
120.66,94673.953,11111111
120.67,92362.992,11111111
120.68,93133.25,11111111
120.69,93133.25,11111111
120.7,93133.25,11111111
120.71,92362.992,11111111
120.72,92362.992,11111111
120.73,89282.555,11111111
120.74,91592.789,11111111
120.75,93133.25,11111111
120.76,92362.992,11111111
120.77,91592.789,11111111
120.78,92362.992,11111111
120.79,93903.57,11111111
120.8,95444.398,11111111
120.81,95444.398,11111111
120.82,97756.094,11111111
120.83,96214.898,11111111
120.84,95444.398,11111111
120.85,100068.336,11111111
120.86,97756.094,11111111
120.87,93903.57,11111111
120.88,93903.57,11111111
120.89,93133.25,11111111
120.9,90822.648,11111111
120.91,93133.25,11111111
120.92,93133.25,11111111
120.93,91592.789,11111111
120.94,92362.992,11111111
120.95,93903.57,11111111
120.96,95444.398,11111111
120.97,92362.992,11111111
120.98,91592.789,11111111
120.99,93903.57,11111111
121,90822.648,11111111
121.01,93133.25,11111111
121.02,94673.953,11111111
121.03,94673.953,11111111
121.04,91592.789,11111111
121.05,93133.25,11111111
121.06,94673.953,11111111
121.07,90822.648,11111111
121.08,90822.648,11111111
121.09,90052.57,11111111
121.1,91592.789,11111111
121.11,90822.648,11111111
121.12,94673.953,11111111
121.13,92362.992,11111111
121.14,92362.992,11111111
121.15,96985.469,11111111
121.16,92362.992,11111111
121.17,93133.25,11111111
121.18,93903.57,11111111
121.19,93903.57,11111111
121.2,93903.57,11111111
121.21,92362.992,11111111
121.22,90822.648,11111111
121.23,92362.992,11111111
121.24,92362.992,11111111
121.25,92362.992,11111111
121.26,94673.953,11111111
121.27,93903.57,11111111
121.28,95444.398,11111111
121.29,93903.57,11111111
121.3,92362.992,11111111
121.31,93903.57,11111111
121.32,93133.25,11111111
121.33,92362.992,11111111
121.34,93903.57,11111111
121.35,92362.992,11111111
121.36,92362.992,11111111
121.37,91592.789,11111111
121.38,94673.953,11111111
121.39,90822.648,11111111
121.4,93133.25,11111111
121.41,93133.25,11111111
121.42,93133.25,11111111
121.43,91592.789,11111111
121.44,90822.648,11111111
121.45,91592.789,11111111
121.46,91592.789,11111111
121.47,93903.57,11111111
121.48,91592.789,11111111
121.49,91592.789,11111111
121.5,91592.789,11111111
121.51,89282.555,11111111
121.52,92362.992,11111111
121.53,93133.25,11111111
121.54,90052.57,11111111
121.55,95444.398,11111111
121.56,93903.57,11111111
121.57,93133.25,11111111
121.58,93133.25,11111111
121.59,93903.57,11111111
121.6,93903.57,11111111
121.61,92362.992,11111111
121.62,93903.57,11111111
121.63,93903.57,11111111
121.64,96985.469,11111111
121.65,100839.203,11111111
121.66,97756.094,11111111
121.67,98526.781,11111111
121.68,97756.094,11111111
121.69,96985.469,11111111
121.7,96985.469,11111111
121.71,96214.898,11111111
121.72,95444.398,11111111
121.73,95444.398,11111111
121.74,98526.781,11111111
121.75,96214.898,11111111
121.76,93903.57,11111111
121.77,97756.094,11111111
121.78,96214.898,11111111
121.79,97756.094,11111111
121.8,96985.469,11111111
121.81,97756.094,11111111
121.82,97756.094,11111111
121.83,95444.398,11111111
121.84,95444.398,11111111
121.85,96985.469,11111111
121.86,97756.094,11111111
121.87,96985.469,11111111
121.88,97756.094,11111111
121.89,96214.898,11111111
121.9,96985.469,11111111
121.91,93903.57,11111111
121.92,97756.094,11111111
121.93,97756.094,11111111
121.94,96214.898,11111111
121.95,97756.094,11111111
121.96,96985.469,11111111
121.97,96985.469,11111111
121.98,95444.398,11111111
121.99,94673.953,11111111
122,97756.094,11111111
122.01,96214.898,11111111
122.02,95444.398,11111111
122.03,95444.398,11111111
122.04,97756.094,11111111
122.05,96214.898,11111111
122.06,97756.094,11111111
122.07,96214.898,11111111
122.08,94673.953,11111111
122.09,94673.953,11111111
122.1,96985.469,11111111
122.11,95444.398,11111111
122.12,95444.398,11111111
122.13,98526.781,11111111
122.14,95444.398,11111111
122.15,96985.469,11111111
122.16,95444.398,11111111
122.17,100839.203,11111111
122.18,96985.469,11111111
122.19,96214.898,11111111
122.2,96985.469,11111111
122.21,97756.094,11111111
122.22,93903.57,11111111
122.23,96985.469,11111111
122.24,96214.898,11111111
122.25,96985.469,11111111
122.26,95444.398,11111111
122.27,96985.469,11111111
122.28,95444.398,11111111
122.29,96214.898,11111111
122.3,96985.469,11111111
122.31,97756.094,11111111
122.32,97756.094,11111111
122.33,97756.094,11111111
122.34,94673.953,11111111
122.35,93903.57,11111111
122.36,98526.781,11111111
122.37,96214.898,11111111
122.38,96985.469,11111111
122.39,96985.469,11111111
122.4,96985.469,11111111
122.41,97756.094,11111111
122.42,96985.469,11111111
122.43,98526.781,11111111
122.44,95444.398,11111111
122.45,96985.469,11111111
122.46,96985.469,11111111
122.47,97756.094,11111111
122.48,98526.781,11111111
122.49,96985.469,11111111
122.5,95444.398,11111111
122.51,96985.469,11111111
122.52,96985.469,11111111
122.53,95444.398,11111111
122.54,95444.398,11111111
122.55,97756.094,11111111
122.56,96214.898,11111111
122.57,93903.57,11111111
122.58,93133.25,11111111
122.59,93903.57,11111111
122.6,93903.57,11111111
122.61,92362.992,11111111
122.62,92362.992,11111111
122.63,92362.992,11111111
122.64,94673.953,11111111
122.65,94673.953,11111111
122.66,93133.25,11111111
122.67,94673.953,11111111
122.68,90052.57,11111111
122.69,95444.398,11111111
122.7,93133.25,11111111
122.71,93133.25,11111111
122.72,90822.648,11111111
122.73,93133.25,11111111
122.74,93133.25,11111111
122.75,93903.57,11111111
122.76,91592.789,11111111
122.77,93903.57,11111111
122.78,92362.992,11111111
122.79,96214.898,11111111
122.8,94673.953,11111111
122.81,96214.898,11111111
122.82,97756.094,11111111
122.83,96985.469,11111111
122.84,97756.094,11111111
122.85,99297.531,11111111
122.86,96214.898,11111111
122.87,94673.953,11111111
122.88,93133.25,11111111
122.89,92362.992,11111111
122.9,92362.992,11111111
122.91,93133.25,11111111
122.92,95444.398,11111111
122.93,90822.648,11111111
122.94,94673.953,11111111
122.95,92362.992,11111111
122.96,92362.992,11111111
122.97,94673.953,11111111
122.98,93133.25,11111111
122.99,92362.992,11111111
123,93133.25,11111111
123.01,92362.992,11111111
123.02,93903.57,11111111
123.03,93903.57,11111111
123.04,94673.953,11111111
123.05,93903.57,11111111
123.06,93133.25,11111111
123.07,93133.25,11111111
123.08,90822.648,11111111
123.09,93133.25,11111111
123.1,90822.648,11111111
123.11,91592.789,11111111
123.12,97756.094,11111111
123.13,93903.57,11111111
123.14,94673.953,11111111
123.15,95444.398,11111111
123.16,96214.898,11111111
123.17,92362.992,11111111
123.18,96214.898,11111111
123.19,91592.789,11111111
123.2,91592.789,11111111
123.21,90822.648,11111111
123.22,90822.648,11111111
123.23,93133.25,11111111
123.24,92362.992,11111111
123.25,94673.953,11111111
123.26,93903.57,11111111
123.27,90822.648,11111111
123.28,92362.992,11111111
123.29,91592.789,11111111
123.3,93903.57,11111111
123.31,93903.57,11111111
123.32,92362.992,11111111
123.33,93903.57,11111111
123.34,94673.953,11111111
123.35,91592.789,11111111
123.36,93903.57,11111111
123.37,95444.398,11111111
123.38,92362.992,11111111
123.39,93903.57,11111111
123.4,92362.992,11111111
123.41,95444.398,11111111
123.42,93903.57,11111111
123.43,93903.57,11111111
123.44,93133.25,11111111
123.45,93903.57,11111111
123.46,91592.789,11111111
123.47,92362.992,11111111
123.48,91592.789,11111111
123.49,92362.992,11111111
123.5,93133.25,11111111
123.51,93133.25,11111111
123.52,91592.789,11111111
123.53,91592.789,11111111
123.54,93133.25,11111111
123.55,90822.648,11111111
123.56,93903.57,11111111
123.57,95444.398,11111111
123.58,94673.953,11111111
123.59,92362.992,11111111
123.6,94673.953,11111111
123.61,93903.57,11111111
123.62,94673.953,11111111
123.63,91592.789,11111111
123.64,94673.953,11111111
123.65,90822.648,11111111
123.66,91592.789,11111111
123.67,93133.25,11111111
123.68,90822.648,11111111
123.69,94673.953,11111111
123.7,95444.398,11111111
123.71,90822.648,11111111
123.72,96214.898,11111111
123.73,93133.25,11111111
123.74,93133.25,11111111
123.75,94673.953,11111111
123.76,94673.953,11111111
123.77,92362.992,11111111
123.78,94673.953,11111111
123.79,94673.953,11111111
123.8,92362.992,11111111
123.81,89282.555,11111111
123.82,90822.648,11111111
123.83,90822.648,11111111
123.84,93133.25,11111111
123.85,93903.57,11111111
123.86,93133.25,11111111
123.87,91592.789,11111111
123.88,92362.992,11111111
123.89,92362.992,11111111
123.9,94673.953,11111111
123.91,93133.25,11111111
123.92,93903.57,11111111
123.93,90822.648,11111111
123.94,94673.953,11111111
123.95,94673.953,11111111
123.96,90822.648,11111111
123.97,93133.25,11111111
123.98,93133.25,11111111
123.99,91592.789,11111111
124,93903.57,11111111
124.01,93133.25,11111111
124.02,93903.57,11111111
124.03,91592.789,11111111
124.04,93133.25,11111111
124.05,93133.25,11111111
124.06,92362.992,11111111
124.07,92362.992,11111111
124.08,91592.789,11111111
124.09,94673.953,11111111
124.1,91592.789,11111111
124.11,93133.25,11111111
124.12,90822.648,11111111
124.13,94673.953,11111111
124.14,91592.789,11111111
124.15,93903.57,11111111
124.16,91592.789,11111111
124.17,94673.953,11111111
124.18,91592.789,11111111
124.19,93903.57,11111111
124.2,93903.57,11111111
124.21,93903.57,11111111
124.22,93903.57,11111111
124.23,93133.25,11111111
124.24,93133.25,11111111
124.25,93133.25,11111111
124.26,91592.789,11111111
124.27,94673.953,11111111
124.28,93133.25,11111111
124.29,93903.57,11111111
124.3,90822.648,11111111
124.31,94673.953,11111111
124.32,92362.992,11111111
124.33,93903.57,11111111
124.34,93903.57,11111111
124.35,94673.953,11111111
124.36,92362.992,11111111
124.37,93133.25,11111111
124.38,92362.992,11111111
124.39,93903.57,11111111
124.4,93133.25,11111111
124.41,96214.898,11111111
124.42,91592.789,11111111
124.43,93133.25,11111111
124.44,91592.789,11111111
124.45,91592.789,11111111
124.46,93133.25,11111111
124.47,90822.648,11111111
124.48,94673.953,11111111
124.49,93903.57,11111111
124.5,92362.992,11111111
124.51,93903.57,11111111
124.52,94673.953,11111111
124.53,94673.953,11111111
124.54,91592.789,11111111
124.55,94673.953,11111111
124.56,94673.953,11111111
124.57,93133.25,11111111
124.58,93903.57,11111111
124.59,90822.648,11111111
124.6,91592.789,11111111
124.61,93903.57,11111111
124.62,90822.648,11111111
124.63,93133.25,11111111
124.64,93133.25,11111111
124.65,91592.789,11111111
124.66,95444.398,11111111
124.67,92362.992,11111111
124.68,92362.992,11111111
124.69,93903.57,11111111
124.7,92362.992,11111111
124.71,93903.57,11111111
124.72,91592.789,11111111
124.73,93133.25,11111111
124.74,94673.953,11111111
124.75,92362.992,11111111
124.76,92362.992,11111111
124.77,91592.789,11111111
124.78,92362.992,11111111
124.79,93903.57,11111111
124.8,95444.398,11111111
124.81,93133.25,11111111
124.82,96985.469,11111111
124.83,98526.781,11111111
124.84,96214.898,11111111
124.85,96985.469,11111111
124.86,96985.469,11111111
124.87,96214.898,11111111
124.88,97756.094,11111111
124.89,94673.953,11111111
124.9,98526.781,11111111
124.91,97756.094,11111111
124.92,99297.531,11111111
124.93,96214.898,11111111
124.94,96985.469,11111111
124.95,96214.898,11111111
124.96,98526.781,11111111
124.97,96985.469,11111111
124.98,97756.094,11111111
124.99,96214.898,11111111
125,95444.398,11111111
125.01,97756.094,11111111
125.02,100068.336,11111111
125.03,97756.094,11111111
125.04,96985.469,11111111
125.05,96985.469,11111111
125.06,95444.398,11111111
125.07,97756.094,11111111
125.08,96985.469,11111111
125.09,96985.469,11111111
125.1,96985.469,11111111
125.11,97756.094,11111111
125.12,93903.57,11111111
125.13,95444.398,11111111
125.14,97756.094,11111111
125.15,97756.094,11111111
125.16,98526.781,11111111
125.17,96214.898,11111111
125.18,96214.898,11111111
125.19,96985.469,11111111
125.2,94673.953,11111111
125.21,97756.094,11111111
125.22,98526.781,11111111
125.23,96985.469,11111111
125.24,98526.781,11111111
125.25,96985.469,11111111
125.26,96214.898,11111111
125.27,93903.57,11111111
125.28,93903.57,11111111
125.29,93133.25,11111111
125.3,92362.992,11111111
125.31,94673.953,11111111
125.32,92362.992,11111111
125.33,92362.992,11111111
125.34,94673.953,11111111
125.35,94673.953,11111111
125.36,93133.25,11111111
125.37,93133.25,11111111
125.38,92362.992,11111111
125.39,93133.25,11111111
125.4,93903.57,11111111
125.41,93133.25,11111111
125.42,93133.25,11111111
125.43,94673.953,11111111
125.44,93133.25,11111111
125.45,95444.398,11111111
125.46,92362.992,11111111
125.47,92362.992,11111111
125.48,90822.648,11111111
125.49,94673.953,11111111
125.5,92362.992,11111111
125.51,90052.57,11111111
125.52,90822.648,11111111
125.53,96214.898,11111111
125.54,94673.953,11111111
125.55,93903.57,11111111
125.56,92362.992,11111111
125.57,94673.953,11111111
125.58,93903.57,11111111
125.59,94673.953,11111111
125.6,93133.25,11111111
125.61,90822.648,11111111
125.62,92362.992,11111111
125.63,92362.992,11111111
125.64,93133.25,11111111
125.65,94673.953,11111111
125.66,93133.25,11111111
125.67,93133.25,11111111
125.68,94673.953,11111111
125.69,93903.57,11111111
125.7,94673.953,11111111
125.71,94673.953,11111111
125.72,92362.992,11111111
125.73,93903.57,11111111
125.74,92362.992,11111111
125.75,94673.953,11111111
125.76,94673.953,11111111
125.77,93133.25,11111111
125.78,93133.25,11111111
125.79,92362.992,11111111
125.8,94673.953,11111111
125.81,93903.57,11111111
125.82,94673.953,11111111
125.83,93133.25,11111111
125.84,93133.25,11111111
125.85,93133.25,11111111
125.86,93903.57,11111111
125.87,92362.992,11111111
125.88,93133.25,11111111
125.89,96985.469,11111111
125.9,93903.57,11111111
125.91,93133.25,11111111
125.92,94673.953,11111111
125.93,93133.25,11111111
125.94,94673.953,11111111
125.95,94673.953,11111111
125.96,97756.094,11111111
125.97,95444.398,11111111
125.98,96214.898,11111111
125.99,96214.898,11111111
126,92362.992,11111111
126.01,93903.57,11111111
126.02,94673.953,11111111
126.03,94673.953,11111111
126.04,93903.57,11111111
126.05,90822.648,11111111
126.06,93133.25,11111111
126.07,93133.25,11111111
126.08,90822.648,11111111
126.09,93133.25,11111111
126.1,93133.25,11111111
126.11,93903.57,11111111
126.12,90822.648,11111111
126.13,90822.648,11111111
126.14,93133.25,11111111
126.15,93903.57,11111111
126.16,96985.469,11111111
126.17,93903.57,11111111
126.18,97756.094,11111111
126.19,96214.898,11111111
126.2,92362.992,11111111
126.21,95444.398,11111111
126.22,92362.992,11111111
126.23,92362.992,11111111
126.24,92362.992,11111111
126.25,90822.648,11111111
126.26,93133.25,11111111
126.27,96214.898,11111111
126.28,92362.992,11111111
126.29,93133.25,11111111
126.3,94673.953,11111111
126.31,96985.469,11111111
126.32,93903.57,11111111
126.33,93903.57,11111111
126.34,92362.992,11111111
126.35,93903.57,11111111
126.36,93133.25,11111111
126.37,93133.25,11111111
126.38,93903.57,11111111
126.39,94673.953,11111111
126.4,92362.992,11111111
126.41,94673.953,11111111
126.42,93133.25,11111111
126.43,94673.953,11111111
126.44,93903.57,11111111
126.45,95444.398,11111111
126.46,92362.992,11111111
126.47,91592.789,11111111
126.48,90822.648,11111111
126.49,91592.789,11111111
126.5,92362.992,11111111
126.51,93133.25,11111111
126.52,91592.789,11111111
126.53,93133.25,11111111
126.54,91592.789,11111111
126.55,91592.789,11111111
126.56,91592.789,11111111
126.57,93903.57,11111111
126.58,92362.992,11111111
126.59,91592.789,11111111
126.6,93903.57,11111111
126.61,93903.57,11111111
126.62,94673.953,11111111
126.63,92362.992,11111111
126.64,93133.25,11111111
126.65,93133.25,11111111
126.66,93133.25,11111111
126.67,91592.789,11111111
126.68,90822.648,11111111
126.69,93133.25,11111111
126.7,93133.25,11111111
126.71,93133.25,11111111
126.72,94673.953,11111111
126.73,90822.648,11111111
126.74,93903.57,11111111
126.75,93903.57,11111111
126.76,93903.57,11111111
126.77,94673.953,11111111
126.78,92362.992,11111111
126.79,91592.789,11111111
126.8,96214.898,11111111
126.81,93133.25,11111111
126.82,96985.469,11111111
126.83,97756.094,11111111
126.84,96214.898,11111111
126.85,100068.336,11111111
126.86,97756.094,11111111
126.87,96985.469,11111111
126.88,93133.25,11111111
126.89,95444.398,11111111
126.9,93903.57,11111111
126.91,93133.25,11111111
126.92,97756.094,11111111
126.93,92362.992,11111111
126.94,94673.953,11111111
126.95,93133.25,11111111
126.96,93133.25,11111111
126.97,93133.25,11111111
126.98,93133.25,11111111
126.99,92362.992,11111111
127,92362.992,11111111
127.01,93903.57,11111111
127.02,93903.57,11111111
127.03,93133.25,11111111
127.04,90052.57,11111111
127.05,94673.953,11111111
127.06,94673.953,11111111
127.07,93903.57,11111111
127.08,93133.25,11111111
127.09,94673.953,11111111
127.1,93133.25,11111111
127.11,89282.555,11111111
127.12,95444.398,11111111
127.13,93903.57,11111111
127.14,93133.25,11111111
127.15,96985.469,11111111
127.16,93903.57,11111111
127.17,92362.992,11111111
127.18,92362.992,11111111
127.19,93133.25,11111111
127.2,96214.898,11111111
127.21,92362.992,11111111
127.22,93903.57,11111111
127.23,90822.648,11111111
127.24,95444.398,11111111
127.25,95444.398,11111111
127.26,94673.953,11111111
127.27,94673.953,11111111
127.28,93903.57,11111111
127.29,93133.25,11111111
127.3,96214.898,11111111
127.31,93903.57,11111111
127.32,90822.648,11111111
127.33,92362.992,11111111
127.34,95444.398,11111111
127.35,92362.992,11111111
127.36,94673.953,11111111
127.37,92362.992,11111111
127.38,93133.25,11111111
127.39,93133.25,11111111
127.4,93133.25,11111111
127.41,94673.953,11111111
127.42,93133.25,11111111
127.43,90822.648,11111111
127.44,93903.57,11111111
127.45,92362.992,11111111
127.46,92362.992,11111111
127.47,93903.57,11111111
127.48,94673.953,11111111
127.49,95444.398,11111111
127.5,95444.398,11111111
127.51,93133.25,11111111
127.52,93903.57,11111111
127.53,93903.57,11111111
127.54,94673.953,11111111
127.55,93903.57,11111111
127.56,95444.398,11111111
127.57,91592.789,11111111
127.58,93133.25,11111111
127.59,95444.398,11111111
127.6,93903.57,11111111
127.61,93903.57,11111111
127.62,90822.648,11111111
127.63,92362.992,11111111
127.64,94673.953,11111111
127.65,95444.398,11111111
127.66,93903.57,11111111
127.67,94673.953,11111111
127.68,94673.953,11111111
127.69,90052.57,11111111
127.7,93133.25,11111111
127.71,92362.992,11111111
127.72,92362.992,11111111
127.73,92362.992,11111111
127.74,90822.648,11111111
127.75,93903.57,11111111
127.76,93133.25,11111111
127.77,92362.992,11111111
127.78,90822.648,11111111
127.79,94673.953,11111111
127.8,93903.57,11111111
127.81,93133.25,11111111
127.82,95444.398,11111111
127.83,93903.57,11111111
127.84,92362.992,11111111
127.85,92362.992,11111111
127.86,94673.953,11111111
127.87,91592.789,11111111
127.88,93133.25,11111111
127.89,95444.398,11111111
127.9,93903.57,11111111
127.91,92362.992,11111111
127.92,93133.25,11111111
127.93,93903.57,11111111
127.94,92362.992,11111111
127.95,90822.648,11111111
127.96,92362.992,11111111
127.97,90822.648,11111111
127.98,90822.648,11111111
127.99,91592.789,11111111
128,90822.648,11111111
128.01,93133.25,11111111
128.02,93903.57,11111111
128.03,94673.953,11111111
128.04,94673.953,11111111
128.05,90822.648,11111111
128.06,93133.25,11111111
128.07,95444.398,11111111
128.08,93903.57,11111111
128.09,93133.25,11111111
128.1,93903.57,11111111
128.11,92362.992,11111111
128.12,93133.25,11111111
128.13,93133.25,11111111
128.14,93903.57,11111111
128.15,92362.992,11111111
128.16,93133.25,11111111
128.17,92362.992,11111111
128.18,95444.398,11111111
128.19,94673.953,11111111
128.2,95444.398,11111111
